conductor,eddyLosses_W,coreLosses_VA,GroupCount_rmsResults,iSecAbs_A_RMS,GroupCount_tempTable,bAvgMagnitude_T_RMS,GroupCount_rmsResults_1,hAvgMagnitude_A_m_RMS,GroupCount_tempTable_1,storedEnergy_J_RMS
Strom_L2,22498.65775008,67.2235603628731-0.000187108797230892i,1,2212673.46706921,1,0.404608547591703,1,1.86868265030196e-18,1,23.3073912493828
Strom_L3,22498.6577500799,-73793.1981458781+1547.61918113677i,1,6588236235565.54,1,857681239440421,1,7.65026007212224e-09,1,1112.24242635326
Strom_L3,22498.6577500799,-97096.8305260968+2036.63282176832i,1,7557714186733.97,1,1.12867404957983e+15,1,5.59481945952613e-08,1,1112.24242635326
Strom_L3,22498.6577500799,-121922.111967675+2557.2761074005i,1,8469673087977.37,1,1.41749302064671e+15,1,5.28821171399912e-08,1,1112.24242635326
Strom_L3,22498.6577500799,-147528.992191484+3095.13531138464i,1,9317171878060.41,1,1.71536231865823e+15,1,4.13193275402602e-07,1,1112.24242635326
Strom_L3,22498.6577500799,-173130.34215108+3632.29507955466i,1,10093762912022.9,1,2.01323218753917e+15,1,3.40297642655244e-09,1,1112.24242635326
Strom_L3,22498.6577500799,-197948.35498891+4153.70344987893i,1,10793533102518.3,1,2.30205096660512e+15,1,2.00359431580863e-07,1,1112.24242635326
Strom_L3,22498.6577500799,-221060.019234224+4642.58977303163i,1,11411157599717.8,1,2.57304394467174e+15,1,7.84478361193982e-07,1,1112.24242635326
Strom_L3,22498.6577500799,-221230.392947829+4642.81913345131i,1,11411160468416.5,1,2.57304460825808e+15,1,1.36754380248085e-06,1,1112.24242635326
Strom_L3,22498.6577500799,-242119.911973085+5084.5399127577i,1,11941937437298.9,1,2.81797651661333e+15,1,1.90815350004443e-08,1,1112.24242635326
Strom_L3,22498.6577500799,-242278.550153936+5084.10312233291i,1,11941936743849.6,1,2.81797563197731e+15,1,1.74357551963417e-07,1,1112.24242635326
Strom_L3,22498.6577500799,-260307.076287383+5466.08504898124i,1,12381832257032.9,1,3.02940689242154e+15,1,7.18877717520848e-07,1,1112.24242635326
Strom_L3,22498.6577500799,-260441.471421653+5466.32005334913i,1,12381820244583.8,1,3.02940054667675e+15,1,4.05861267777774e-09,1,1112.24242635326
Strom_L3,22498.6577500799,-275061.9947124+5775.10534252631i,1,12727492413724.8,1,3.20090998931126e+15,1,2.37957185055587e-07,1,1112.24242635326
Strom_L3,22498.6577500799,-275161.422713984+5775.35197022967i,1,12727494232473.2,1,3.20091054033198e+15,1,1.9971031700904e-07,1,1112.24242635326
Strom_L3,22498.6577500799,-285938.558813969+6003.37248749292i,1,12976290178812.4,1,3.32727622832727e+15,1,8.52502012353068e-08,1,1112.24242635326
Strom_L3,22498.6577500799,-286009.238628277+6002.81534894103i,1,12976289237629.2,1,3.32727549681599e+15,1,1.82816732168895e-07,1,1112.24242635326
Strom_L3,22498.6577500799,-292610.543195225+6142.92178873334i,1,13126330372803.6,1,3.4046652090818e+15,1,7.32164160236072e-07,1,1112.24242635326
Strom_L3,22498.6577500799,-292650.103794895+6142.94819750922i,1,13126330493593.6,1,3.40466514539767e+15,1,5.26192988650749e-08,1,1112.24242635326
Strom_L3,22498.6577500799,-294867.577842809+6190.28041672276i,1,13176470924424.7,1,3.43072541255785e+15,1,8.76883128306959e-07,1,1112.24242635326
