conductor,eddyLosses_W,coreLosses_VA,current_A,GroupCount_rmsResults,iSecAbs_A_RMS,GroupCount_tempTable,bAvgMagnitude_T_RMS,GroupCount_rmsResults_1,hAvgMagnitude_A_m_RMS,GroupCount_tempTable_1,storedEnergy_J_RMS
L1,21616.3657500801,17786817.7630382-370205.331549092i,4800,1,4.81786962928246e+15,1,3.76728017850635e+16,1,0.0236187208962351,1,5426.48482202869
L1,21616.3657500801,18277526.1320527-381048.612946304i,4700,2,4.8838597554807e+15,2,3.87118749228081e+16,2,0.0661070687499168,2,5426.48482202869
L1,21616.3657500801,18535054.8008394-386315.884210981i,4900,1,4.91823355873715e+15,1,3.92587203477357e+16,1,0.00962733058973946,1,5426.48482202869
L1,21616.3657500801,18535316.4811034-386646.387840933i,4900,1,4.9181938503255e+15,1,3.92580856013707e+16,1,0.0834021960243753,1,5426.48482202869
L1,21616.3657500801,19063775.2902022-397243.132261653i,4800,2,4.98781404918374e+15,2,4.03773995764269e+16,2,0.00360438798372952,2,5426.48482202869
L1,21616.3657500801,19299490.8736817-402209.427340243i,5000,1,5.01860276650052e+15,1,4.08774207492397e+16,1,0.00261832946367328,1,5426.48482202869
L1,21616.3657500801,19300196.811635-402240.185359595i,5000,1,5.01862391500398e+15,1,4.08777644111936e+16,1,0.0326762502451346,1,5426.48482202869
L1,21616.3657500801,19865985.524389-414027.769648308i,4900,2,5.09171917499254e+15,2,4.20771894224699e+16,2,0.00246507194192507,2,5426.48482202869
L1,21616.3657500801,20685453.1255696-431060.958111025i,5000,2,5.19562907732457e+15,2,4.38121044786004e+16,2,0.00199403699625771,2,5426.48482202869
L2,21616.3657500802,122.08511891222+0.00141867566946579i,4500,1,56706.6014916204,1,3.45944889936059,1,7.9258778132213e-16,1,22.393384508686
L2,21616.3657500802,127.57225117885-0.00453534675906012i,4600,1,81880.7993117895,1,3.61497090219962,1,7.43962884013765e-16,1,22.393384508686
L2,21616.3657500802,133.181604789966+0.00381231247206868i,4700,1,71897.2786615899,1,3.77390985999746,1,1.47620406687904e-16,1,22.393384508686
L2,21616.3657500802,138.906584041781+0.000823185312919345i,4800,1,68397.5805149395,1,3.93611612998697,1,8.34489197432055e-16,1,22.393384508686
L2,21616.3657500802,144.755232850749-0.000771750903092999i,4900,1,74551.5594993561,1,4.10182908935514,1,7.39626540988658e-16,1,22.393384508686
L2,21616.3657500802,150.723170859321-0.00250650675479976i,5000,1,66153.2153152741,1,4.27098386112396,1,1.09003748619714e-16,1,22.393384508686
L2,21616.3657500802,-31591.9507096708+104.21122824677i,4500,1,1.20963487289691e+15,1,2.37602407900738e+15,1,0.00171753699032855,1,22.393384508686
L2,21616.3657500802,-31751.1598211511+104.895273374799i,4500,1,1.20962748192986e+15,1,2.37599504373266e+15,1,0.0245031304289274,1,22.393384508686
L2,21616.3657500802,-33011.8244716289+109.378874107548i,4600,1,1.23650784336e+15,1,2.48276715322648e+15,1,0.0219507310392033,1,22.393384508686
L2,21616.3657500802,-33177.6214253886+109.1378977906i,4600,1,1.23650632550124e+15,1,2.48276105795317e+15,1,0.00873623613020448,1,22.393384508686
L2,21616.3657500802,-34463.2074106929+113.976911587031i,4700,1,1.26340613279086e+15,1,2.59195944141066e+15,1,0.0115786140148772,1,22.393384508686
L2,21616.3657500802,-34636.37124268+113.423954304781i,4700,1,1.26339110295453e+15,1,2.59189777251699e+15,1,0.000406831060339938,1,22.393384508686
L2,21616.3657500802,-35944.3762055993+119.220442350754i,4800,1,1.29027389209917e+15,1,2.70337354457076e+15,1,0.00605940924442288,1,22.393384508686
L2,21616.3657500802,-36125.6057559841+119.032058761411i,4800,1,1.29027593614705e+15,1,2.70338210997617e+15,1,0.00676727943851686,1,22.393384508686
L2,21616.3657500802,-37457.2860878329+122.879812606325i,4900,1,1.31714367367274e+15,1,2.81714071664665e+15,1,0.000454178279349696,1,22.393384508686
L2,21616.3657500802,-37646.0396794371+124.497379668533i,4900,1,1.31714706454778e+15,1,2.81715522175152e+15,1,0.0168647745997277,1,22.393384508686
L2,21616.3657500802,-39002.1371513821+130.046178166779i,5000,1,1.34404365143501e+15,1,2.93338446548373e+15,1,0.00644099085008262,1,22.393384508686
L2,21616.3657500802,-39198.5654441354+128.752292289781i,5000,1,1.3440297134682e+15,1,2.93332362644877e+15,1,0.00393132865751324,1,22.393384508686
L2,21616.3657500802,-118393.223948224+389.478488235193i,4500,2,2.33680452220557e+15,2,8.86721030694446e+15,2,0.0229485942408341,2,22.393384508686
L2,21616.3657500802,-118673.438768986+388.63379720622i,4500,1,2.33685274093886e+15,1,8.86757625123324e+15,1,0.018796718762562,1,22.393384508686
L2,21616.3657500802,-123711.984020533+406.695328642822i,4600,2,2.38873916347274e+15,2,9.26573125843937e+15,2,0.00504465921697047,2,22.393384508686
L2,21616.3657500802,-124000.782476198+411.334430413747i,4600,1,2.38873773302384e+15,1,9.26572016146044e+15,1,0.0526759827534712,1,22.393384508686
L2,21616.3657500802,-129149.431558804+426.730547055707i,4700,2,2.44066961535415e+15,2,9.67297864777869e+15,2,0.0140586603724178,2,22.393384508686
L2,21616.3657500802,-129451.555722895+426.033715868127i,4700,1,2.4406758932737e+15,1,9.67302840986999e+15,1,0.00639469555235105,1,22.393384508686
L2,21616.3657500802,-134709.230347745+443.597722501822i,4800,2,2.49263637422656e+15,2,1.00892781817227e+16,2,0.0527545604618804,2,22.393384508686
