phaseAngle,conductor,iPrimA,iSecAbs_A,iSecReal_A,iSecImag_A,bAvgMagnitude_T,hAvgMagnitude_A_m,eddyLosses_W,coreLosses_VA,storedEnergy_J,mu_r_real,mu_r_imag,current_A
105,L1,-1190.5676074716,1.23714718224014e+15,1.23714718223118e+15,4708072073.68188,2.48405176162947e+15,-0.00150101297346264,21616.3657500801,1172551.36477828-24429.6682857659i,5426.48482202869,0,0,4600
105,L2,4443.25880092971,4.61470830968884e+15,-4.61470830960468e+15,27870667122.2019,3.45804587220437e+16,-0.0283938233541061,21616.3657500802,-462670.231715103+1511.68406657132i,22.393384508686,0,0,4600
105,L3,-3252.69119345812,3.38074095714911e+15,3.38074095710561e+15,17148490494.0994,1.85457378287888e+16,-0.0278470459179497,21616.3657500801,10258525.001326+55885.6533673433i,5426.48482202869,0,0,4600
120,L1,-2300,2.38999699207642e+15,2.38999699206963e+15,5700426309.44282,9.27070102284568e+15,0.00712938733209282,21616.3657500801,4376560.94636926-91195.9585188201i,5426.48482202869,0,0,4600
120,L2,4600,4.77750314907846e+15,-4.77750314803746e+15,99733454415.8181,3.70633101673996e+16,0.0485825341277496,21616.3657500802,-495813.741162236+1635.78073102895i,22.393384508686,0,0,4600
120,L3,-2300,2.39054355831405e+15,2.39054355829769e+15,8843619953.58185,9.27285911023273e+15,0.0189693363607803,21616.3657500801,5129700.52966106+27921.9845885837i,5426.48482202869,0,0,4600
135,L1,-3252.69119345812,3.37994478563228e+15,3.37994478561612e+15,-10451217037.7135,1.85411670082486e+16,-0.00492913518412227,21616.3657500801,8753468.97954727-182512.638572902i,5426.48482202869,0,0,4600
135,L2,4443.25880092971,4.61473216010594e+15,-4.6147321592726e+15,87699989290.4115,3.4580816170465e+16,-0.335422701498881,21616.3657500802,-462518.769029918+1525.33979937416i,22.393384508686,0,0,4600
135,L3,-1190.5676074716,1.23742772788501e+15,1.23742772787404e+15,-5209859140.67357,2.48462047037043e+15,0.00307116859529414,21616.3657500801,1374767.63491239+7462.51646592353i,5426.48482202869,0,0,4600
150,L1,-3983.71685740842,4.13959066693663e+15,4.13959066681115e+15,-32232011300.581,2.78120271945689e+16,0.0496433214951237,21616.3657500801,13130616.8450975-273835.464475031i,5426.48482202869,0,0,4600
150,L2,3983.71685740842,4.13745418311085e+15,-4.13745418210654e+15,91162311807.6258,2.77976853821078e+16,0.404038881773785,21616.3657500802,-371688.250606152+1229.98661440688i,22.393384508686,0,0,4600
150,L3,0,93325813.2384867,-93325790.9578712,-64488.0813006833,0.241064389033933,-2.49530425759497e-16,21616.3657500801,-72.8945943732102+0.00423728808080388i,5426.48482202869,0,0,4600
165,L1,-4443.25880092971,4.61711882005805e+15,4.6171188198914e+15,39227826849.4876,3.45987129903312e+16,-0.0410688786730134,21616.3657500801,16335343.9266988-340211.796357525i,5426.48482202869,0,0,4600
165,L2,3252.69119345812,3.37821002921531e+15,-3.37821002875708e+15,55641779347.7377,1.85317116446981e+16,0.0605257014900482,21616.3657500802,-247674.870385743+815.191443275785i,22.393384508686,0,0,4600
165,L3,1190.5676074716,1.23742906590242e+15,-1.23742906588119e+15,-7248534035.73684,2.48462511942108e+15,0.000294593970342603,21616.3657500801,1373523.01083055+7485.95071601195i,5426.48482202869,0,0,4600
180,L1,-4600,4.77998977773009e+15,4.77998977770589e+15,-15210862698.4213,3.70827363170765e+16,-0.00311184880674537,21616.3657500801,17508157.3765503-364963.322785316i,5426.48482202869,0,0,4600
180,L2,2300,2.38873916347274e+15,-2.38873916327307e+15,30885318685.8911,9.26573125843937e+15,-0.00504465921697047,21616.3657500802,-123711.984020533+406.695328642822i,22.393384508686,0,0,4600
180,L3,2300,2.39053680001199e+15,-2.39053680000994e+15,3129725921.71326,9.27280542553596e+15,-0.00368945039871197,21616.3657500801,5127562.81549026+27886.8980697239i,5426.48482202869,0,0,4600
0,L1,4700,4.8838597554807e+15,-4.88385975543996e+15,19949946804.2848,3.87118749228081e+16,0.0661070687499168,21616.3657500801,18277526.1320527-381048.612946304i,5426.48482202869,0,0,4700
0,L2,-2350,2.44066961535415e+15,2.44066961482319e+15,-50909569468.5826,9.67297864777869e+15,-0.0140586603724178,21616.3657500802,-129149.431558804+426.730547055707i,22.393384508686,0,0,4700
0,L3,-2350,2.44252051328445e+15,2.44252051325853e+15,11252297939.2245,9.68047614844478e+15,0.00404143469402377,21616.3657500801,5352921.11976355+29170.5884656012i,5426.48482202869,0,0,4700
15,L1,4539.85138355862,4.71745329032422e+15,-4.71745329032356e+15,2508732943.51405,3.61187781432055e+16,-0.00544708764453777,21616.3657500801,17053398.2315007-355449.167336785i,5426.48482202869,0,0,4700
15,L2,-1216.44951198185,1.26340613279086e+15,1.26340613267434e+15,-17158825417.0681,2.59195944141066e+15,-0.0115786140148772,21616.3657500802,-34463.2074106929+113.976911587031i,22.393384508686,0,0,4700
15,L3,-3323.40187157677,3.45419321136911e+15,3.45419321136856e+15,1950283737.95416,1.93603651745914e+16,0.00059651449277499,21616.3657500801,10706694.9717627+58250.3197251824i,5426.48482202869,0,0,4700
30,L1,4070.31939778686,4.22963383257682e+15,-4.22963383230019e+15,-48374604166.6553,2.90351029431366e+16,-0.138413929474426,21616.3657500801,13709110.2903411-285395.243995761i,5426.48482202869,0,0,4700
30,L2,0,71897.2786615899,1779.17567309261,-71875.2614803353,3.77390985999746,1.47620406687904e-16,21616.3657500802,133.181604789966+0.00381231247206868i,22.393384508686,0,0,4700
30,L3,-4070.31939778686,4.23054414823051e+15,4.23054414801759e+15,42444099578.0351,2.90410799422465e+16,-0.0455673169514451,21616.3657500801,16061054.1871795+87715.6184904819i,5426.48482202869,0,0,4700
45,L1,3323.40187157677,3.45341217384857e+15,-3.45341217382957e+15,11455161259.6445,1.9355957134015e+16,-0.0060528234899261,21616.3657500801,9139144.45265384-190562.603935573i,5426.48482202869,0,0,4700
45,L2,1216.44951198185,1.26339110295453e+15,-1.26339110291964e+15,9390097422.51995,2.59189777251699e+15,0.000406831060339938,21616.3657500802,-34636.37124268+113.423954304781i,22.393384508686,0,0,4700
45,L3,-4539.85138355862,4.71855689374081e+15,4.71855689374071e+15,960187169.063864,3.61275654335948e+16,-0.000574257263723671,21616.3657500801,19981039.645941+108631.740405185i,5426.48482202869,0,0,4700
60,L1,2350,2.44198584730617e+15,-2.4419858472972e+15,-6618569220.22632,9.6784117234185e+15,0.00207310738816155,21616.3657500801,4570028.59235401-95194.3416658517i,5426.48482202869,0,0,4700
60,L2,2350,2.4406758932737e+15,-2.44067589297004e+15,38500374584.053,9.67302840986999e+15,0.00639469555235105,21616.3657500802,-129451.555722895+426.033715868127i,22.393384508686,0,0,4700
60,L3,-4700,4.88497636565615e+15,4.88497636517925e+15,-68259373155.075,3.87208821333897e+16,0.290680544626427,21616.3657500801,21415826.3089596+115853.715186995i,5426.48482202869,0,0,4700
75,L1,1216.44951198185,1.26404796062507e+15,-1.26404796051721e+15,16513040684.6281,2.59325293822966e+15,-0.00291146340173679,21616.3657500801,1224645.38545887-25551.417232092i,5426.48482202869,0,0,4700
75,L2,3323.40187157677,3.45166104852099e+15,-3.4516610482078e+15,46497488336.1354,1.93463269641384e+16,0.0146645047038925,21616.3657500802,-258911.096926022+849.526990058406i,22.393384508686,0,0,4700
75,L3,-4539.85138355862,4.71850884808997e+15,4.71850884767732e+15,62403555353.1244,3.61268304717076e+16,-0.186762816347088,21616.3657500801,19982123.2580727+109226.437493881i,5426.48482202869,0,0,4700
90,L1,0,95350651.1072494,-95350623.2007018,72950.7655031878,0.251769083701551,-2.28802745011318e-16,21616.3657500801,-3.04198401388438+0.000159448318747993i,5426.48482202869,0,0,4700
90,L2,4070.31939778686,4.22738770348734e+15,-4.22738770335808e+15,33057822965.9907,2.90192644160114e+16,-0.0616076695626635,21616.3657500802,-388317.701602954+1269.50085634165i,22.393384508686,0,0,4700
90,L3,-4070.31939778686,4.23052945458248e+15,4.23052945443936e+15,-34798355559.1922,2.90408795192629e+16,-0.0119744388290849,21616.3657500801,16063075.6692477+87035.9380698564i,5426.48482202869,0,0,4700
105,L1,-1216.44951198185,1.26404102964228e+15,1.26404102963016e+15,5535095664.71421,2.59322525576143e+15,0.00364663520310031,21616.3657500801,1224079.46962765-25505.9033079251i,5426.48482202869,0,0,4700
105,L2,4539.85138355862,4.71506039016451e+15,-4.71506038982453e+15,56621779680.771,3.61007944363437e+16,-0.0645711570505343,21616.3657500802,-483020.363625781+1583.32801276762i,22.393384508686,0,0,4700
105,L3,-3323.40187157677,3.45419340350596e+15,3.454193403444e+15,20688738882.375,1.93603688403886e+16,-0.0146521410073572,21616.3657500801,10709176.6931172+58381.1316714807i,5426.48482202869,0,0,4700
120,L1,-2350,2.44194896335912e+15,2.44194896335908e+15,-434330369.215299,9.67812066789284e+15,0.000379019630619138,21616.3657500801,4568942.49471405-95214.9480972294i,5426.48482202869,0,0,4700
120,L2,4700,4.88136132254279e+15,-4.88136132181129e+15,84507296696.0325,3.86922648139914e+16,-0.103999826026075,21616.3657500802,-517610.5038516+1703.22047887063i,22.393384508686,0,0,4700
120,L3,-2350,2.44248849688985e+15,2.44248849686065e+15,11943170070.2129,9.68022367742328e+15,0.0117084794952764,21616.3657500801,5355026.17833063+29165.2613765332i,5426.48482202869,0,0,4700
135,L1,-3323.40187157677,3.45344721299493e+15,3.45344721288185e+15,-27947163733.5579,1.93563514280769e+16,0.0590829746768145,21616.3657500801,9138261.47899039-190618.337701452i,5426.48482202869,0,0,4700
135,L2,4539.85138355862,4.71504133015217e+15,-4.71504132983748e+15,54475941208.1345,3.61005025715195e+16,-0.00400556361500559,21616.3657500802,-482845.516444132+1583.92177376869i,22.393384508686,0,0,4700
135,L3,-1216.44951198185,1.26433080802986e+15,1.26433080802831e+15,-1979510110.38737,2.59383181843906e+15,0.000642304612323126,21616.3657500801,1435207.18603486+7796.11663832348i,5426.48482202869,0,0,4700
150,L1,-4070.31939778686,4.22959242316264e+15,4.22959242315439e+15,-8357307028.91074,2.90345357300506e+16,-0.0107879633807915,21616.3657500801,13707716.0847318-285701.493744978i,5426.48482202869,0,0,4700
150,L2,4070.31939778686,4.22739693927954e+15,-4.22739693869314e+15,70412079755.9144,2.90193912158017e+16,0.0858060699433341,21616.3657500802,-388021.692994643+1277.17637229055i,22.393384508686,0,0,4700
150,L3,0,95366865.8792847,-95366848.9433151,-56835.3797956569,0.251655211184516,-2.90038443433081e-17,21616.3657500801,-76.0943071992419+0.00349540437032526i,5426.48482202869,0,0,4700
