phaseAngle,conductor,iPrimA,iSecAbs_A,iSecReal_A,iSecImag_A,bAvgMagnitude_T,hAvgMagnitude_A_m,eddyLosses_W,coreLosses_VA,storedEnergy_J,mu_r_real,mu_r_imag
19.2857142857143,L3,-4287.73234207536,4.45652283057753e+15,4.45652283057182e+15,7134334444.07968,3.22264573292014e+16,0.00039649944196601,21616.3657500801,17821882.8050052+96951.0366631002i,5426.48482202869,0,0
25.7142857142857,L1,5096.6457403938,5.29605259169445e+15,-5.29605259166604e+15,-17347446121.9658,4.55221124725088e+16,0.0368793817443733,21616.3657500801,21493287.3393126-447765.82185072i,5426.48482202869,0,0
25.7142857142857,L2,-422.736929904363,439049962772527,439049962702430,-7845492377.15263,313018588965795,0.00237834897587141,21616.3657500802,-3958.05497204075+13.7955697052463i,22.393384508686,0,0
25.7142857142857,L3,-4673.90881048944,4.85787330661949e+15,4.85787330657217e+15,-21441903589.4791,3.82924069680049e+16,-0.00149042838597476,21616.3657500801,21176967.8727277+114980.55574042i,5426.48482202869,0,0
32.1428571428571,L1,4789.79178640452,4.97724522486158e+15,-4.97724522484288e+15,13645484043.321,4.02064661850047e+16,-0.00573493408937757,21616.3657500801,18983561.6557885-395730.958003586i,5426.48482202869,0,0
32.1428571428571,L2,211.516377342032,219676611705013,-219676611657250,4580959653.21296,78362788703064.7,0.00015242557406358,21616.3657500802,-874.459313401269+3.46402862926366i,22.393384508686,0,0
32.1428571428571,L3,-5001.30816374655,5.19817930000876e+15,5.19817930000831e+15,-2156819421.19083,4.38452762814276e+16,0.00143083692083036,21616.3657500801,24248705.06499+131793.141163106i,5426.48482202869,0,0
38.5714285714286,L1,4422.70342159927,4.59576394524684e+15,-4.59576394494471e+15,52697536531.8478,3.42794031105939e+16,0.0483860057730768,21616.3657500801,16185334.0498266-337648.222737431i,5426.48482202869,0,0
38.5714285714286,L2,843.109743418692,875648268502014,-875648268415332,12320927097.2463,1.24509252718238e+15,0.00245540385317812,21616.3657500802,-16542.0656569683+54.8256758697497i,22.393384508686,0,0
38.5714285714286,L3,-5265.81316501797,5.47311573316214e+15,5.47311573288348e+15,-55228914634.8718,4.86059645527306e+16,0.167150637143305,21616.3657500801,26881944.3097529+145630.477944735i,5426.48482202869,0,0
45,L1,3999.99699515512,4.15653261962692e+15,-4.15653261946844e+15,-36297055411.6713,2.80401418672979e+16,-0.0367800075230056,21616.3657500801,13239593.1555991-275707.694891805i,5426.48482202869,0,0
45,L2,1464.10051528819,1.52059240438458e+15,-1.52059240434051e+15,11577126014.63,3.75463629162023e+15,-0.00198803360317922,21616.3657500802,-50173.4210433104+164.196992252129i,22.393384508686,0,0
45,L3,-5464.09751044332,5.67915177081843e+15,5.67915177027166e+15,-78805986771.4008,5.23344006102257e+16,-0.141745043673511,21616.3657500801,28944178.7472295+156774.759629578i,5426.48482202869,0,0
51.4285714285714,L1,3526.98828564458,3.6649936772369e+15,-3.66499367717103e+15,21972607772.3908,2.18003906288072e+16,0.0330904321231889,21616.3657500801,10293456.3951897-214679.707242763i,5426.48482202869,0,0
51.4285714285714,L2,2066.67937368704,2.14643296752921e+15,-2.14643296722826e+15,35943620988.3217,7.48129707259503e+15,-0.00887478474470953,21616.3657500802,-100085.478940075+329.871004397148i,22.393384508686,0,0
51.4285714285714,L3,-5593.66765933162,5.81378545442607e+15,5.81378545415422e+15,-56222373454.4118,5.48451600885087e+16,-0.0748848648762651,21616.3657500801,30333477.8150794+164252.70475226i,5426.48482202869,0,0
57.8571428571429,L1,3009.62565203578,3.12742657072693e+15,-3.12742657069323e+15,14520366213.8272,1.58742075254841e+16,-0.00983300636169733,21616.3657500801,7495550.50750884-156255.720667694i,5426.48482202869,0,0
57.8571428571429,L2,2643.26853984647,2.74530522041154e+15,-2.74530522003766e+15,45308369124.4408,1.22383681097242e+16,0.0267654387887364,21616.3657500802,-163777.663997645+538.371491697005i,22.393384508686,0,0
57.8571428571429,L3,-5652.89419188225,5.87543063661467e+15,5.87543063650062e+15,36608501312.1833,5.60144034860036e+16,-0.0756353991124022,21616.3657500801,30980175.5573076+168850.000288408i,5426.48482202869,0,0
64.2857142857143,L1,2454.41522962716,2.55046925575612e+15,-2.5504692552303e+15,-51789276022.2687,1.05574245808844e+16,-0.0968750112119821,21616.3657500801,4985186.19499539-103686.257880673i,5426.48482202869,0,0
64.2857142857143,L2,3186.6170704572,3.30959416526292e+15,-3.30959416489893e+15,49085143529.1667,1.77865502869311e+16,0.0634117413807559,21616.3657500802,-238039.856522451+782.844962502568i,22.393384508686,0,0
64.2857142857143,L3,-5641.03230008436,5.86301406444679e+15,5.86301406438782e+15,26296309358.7253,5.57779029472703e+16,-0.122302283501981,21616.3657500801,30850393.9230841+168106.16955235i,5426.48482202869,0,0
70.7142857142857,L1,1868.33911162109,1.94147075723371e+15,-1.94147075707344e+15,24946145762.7873,6.11757772546191e+15,-0.0275137862842097,21616.3657500801,2888834.60013332-60264.1103736169i,5426.48482202869,0,0
70.7142857142857,L2,3689.89204248864,3.83232205447078e+15,-3.83232205397751e+15,61487878567.5883,2.38487838277274e+16,0.0915516467660571,21616.3657500802,-319179.113047698+1048.68131209146i,22.393384508686,0,0
70.7142857142857,L3,-5558.23115410973,5.77696760333989e+15,5.77696760324575e+15,32981406551.0443,5.41527076552702e+16,-0.158093970438042,21616.3657500801,29951894.6234694+163158.638703467i,5426.48482202869,0,0
77.1428571428571,L1,1258.76754525078,1.30803137158292e+15,-1.30803137112785e+15,34503688342.2111,2.77686063108131e+15,-0.0313910634226028,21616.3657500801,1311376.04722658-27394.2892350583i,5426.48482202869,0,0
77.1428571428571,L2,4146.76448116055,4.30677806668198e+15,-4.30677806666823e+15,10881456458.4845,3.01194630547309e+16,0.00459708862764177,21616.3657500802,-403079.10863486+1313.63629927243i,22.393384508686,0,0
77.1428571428571,L3,-5405.53202641133,5.61820770364239e+15,5.61820770150748e+15,154883000274.035,5.12172075268169e+16,0.679749342851612,21616.3657500801,28328263.170172+155611.517005925i,5426.48482202869,0,0
83.5714285714286,L1,633.366246644997,658146009307364,-658146009288802,4942991833.02541,703011114767083,-0.00162425828976755,21616.3657500801,332084.476541776-6921.83588785531i,5426.48482202869,0,0
83.5714285714286,L2,4551.48895047308,4.72711103795091e+15,-4.72711103756427e+15,60459848671.2687,3.62855614819596e+16,-0.0159888228769647,21616.3657500802,-485587.705723832+1593.81520846825i,22.393384508686,0,0
83.5714285714286,L3,-5184.85519711808,5.38890774825139e+15,5.38890774824116e+15,10502329892.1727,4.71217938025305e+16,-0.0101045703594894,21616.3657500801,26063733.7367268+141870.893332651i,5426.48482202869,0,0
90,L1,0,114736310.130634,-114736225.174941,139624.490122416,0.364733515180805,-4.54477118848154e-16,21616.3657500801,-4.40794640595025+0.00104737723223615i,5426.48482202869,0,0
90,L2,4898.975805398,5.08801862771086e+15,-5.0880186265038e+15,110828776484.962,4.2037765705621e+16,-0.387219942946048,21616.3657500802,-562538.099867577+1855.93318162585i,22.393384508686,0,0
90,L3,-4898.975805398,5.09179822827896e+15,5.09179822824575e+15,-18391917572.3164,4.20690485609064e+16,0.015123997701581,21616.3657500801,23269385.2613093+126430.662672069i,5426.48482202869,0,0
